설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,그늘막유형,세부위치,설치년도,전체높이,펼침지름,관리기관명,관리기관전화번호,데이터기준일자
포산초등학교 옆 횡단보도,대구광역시,달성군,대구광역시 달성군 현풍읍 테크노북로 78,대구광역시 달성군 현풍읍 중리 483,35.694270,128.452746,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
고향숯불막창 앞 횡단보도,대구광역시,달성군,대구광역시 달성군 현풍읍 테크노북로 78,대구광역시 달성군 현풍읍 중리 483,35.694270,128.452746,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
"제일풍경채, 서한이다음 앞",대구광역시,달성군,대구광역시 달성군 현풍읍 테크노북로 9-7,대구광역시 달성군 현풍읍 중리 484-1,35.693073,128.453005,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
가창초등학교 앞,대구광역시,달성군,대구광역시 달성군 가창면 가창로 1334,대구광역시 달성군 가창면 대일리 365,35.771051,128.648247,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
한일우호관 주차장,대구광역시,달성군,대구광역시 달성군 가창면 가창로 885-3,대구광역시 달성군 가창면 우록리 176-3,35.722638,128.646981,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
가창장로교회 앞,대구광역시,달성군,대구광역시 달성군 가창면 가창로 1074,대구광역시 달성군 가창면 용계리 235-8,35.800402,128.623398,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
용계교 교통섬,대구광역시,달성군,대구광역시 달성군 가창면 용계길 57,대구광역시 달성군 가창면 용계리 117-4,35.800963,128.622374,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
동곡교차로 교통섬,대구광역시,달성군,대구광역시 달성군 하빈면 하빈남로 562,대구광역시 달성군 하빈면 하산리 1100-33,35.875261,128.397894,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
국가산단대로 세븐일레븐 앞,대구광역시,달성군,대구광역시 달성군 구지면 과학마을로 34,대구광역시 달성군 구지면 응암리 1189-3,35.655549,128.416963,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
국가산단대로 파리바게트 앞,대구광역시,달성군,대구광역시 달성군 구지면 과학마을로 42,대구광역시 달성군 구지면 응암리 1206-1,35.655551,128.417989,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
구지 세현초등학교,대구광역시,달성군,대구광역시 달성군 구지면 국가산단대로66길 10,대구광역시 달성군 구지면 창리 1446,35.659785,128.419807,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
산전남편교차로 홈마트 쪽,대구광역시,달성군,대구광역시 달성군 구지면 달성2차로 80,대구광역시 달성군 구지면 창리 1484,35.661633,128.414480,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
산전남편교차로 더센트럴 쪽,대구광역시,달성군,대구광역시 달성군 구지면 달성2차로 84,대구광역시 달성군 구지면 창리 1502,35.660810,128.415490,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
산전남편교차로 더센트럴 103동 맞은편,대구광역시,달성군,대구광역시 달성군 구지면 국가산단대로66길 22,대구광역시 달성군 구지면 창리 1441,35.660557,128.419671,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
"창리교차로 현수막게시대 작은도로 건너편, 배떡건물 옆",대구광역시,달성군,대구광역시 달성군 구지면 달성2차로 86,대구광역시 달성군 구지면 창리 1511,35.659185,128.417725,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
"파리바게트 건너편, 베스킨라빈스 옆",대구광역시,달성군,대구광역시 달성군 구지면 과학마을로 60,대구광역시 달성군 구지면 응암리 1208-3,35.655651,128.419851,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
유승빌건물 토박이부동산 앞,대구광역시,달성군,대구광역시 달성군 구지면 응암로 30,대구광역시 달성군 구지면 응암리 1220-17,35.654991,128.417090,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
예가수제순대 앞,대구광역시,달성군,대구광역시 달성군 구지면 창리로3길 5,대구광역시 달성군 구지면 창리 202-4,35.658822,128.411811,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
대성축산 앞,대구광역시,달성군,대구광역시 달성군 구지면 창리로3길 7,대구광역시 달성군 구지면 창리 204-1,35.658822,128.411811,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
