설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,그늘막유형,세부위치,설치년도,전체높이,펼침지름,관리기관명,관리기관전화번호,데이터기준일자
북부노인회관 맞은편,대구광역시,달성군,대구광역시 달성군 다사읍 매곡1길 44,대구광역시 달성군 다사읍 매곡리 922-9,35.861215,128.454868,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
대실유치원 앞,대구광역시,달성군,대구광역시 달성군 다사읍 죽곡3길 12,대구광역시 달성군 다사읍 죽곡리 842,35.853623,128.466389,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
대실초등학교 일원,대구광역시,달성군,대구광역시 달성군 다사읍 죽곡3길 14,대구광역시 달성군 다사읍 죽곡리 843,35.852378,128.466807,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
대실 이편한 아파트 건너편(어린이집),대구광역시,달성군,대구광역시 달성군 다사읍 죽곡2길 26,대구광역시 달성군 다사읍 죽곡리 838,35.853538,128.464718,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
다사 다이소 앞,대구광역시,달성군,대구광역시 달성군 다사읍 매곡1길 4,대구광역시 달성군 다사읍 매곡리 1556,35.862932,128.464863,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
다이소 교통섬,대구광역시,달성군,대구광역시 달성군 다사읍 죽곡1길 17,대구광역시 달성군 다사읍 죽곡리 811-1,35.856774,128.463890,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
대실역2번 출구,대구광역시,달성군,대구광역시 달성군 다사읍 죽곡2길 28,대구광역시 달성군 다사읍 죽곡리 837,35.856191,128.464726,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
죽곡 휴플러스 아파트 맞은편,대구광역시,달성군,대구광역시 달성군 다사읍 죽곡3길 12,대구광역시 달성군 다사읍 죽곡리 842,35.853623,128.466389,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
e편한 아파트앞 교통섬,대구광역시,달성군,대구광역시 달성군 다사읍 죽곡2길 30,대구광역시 달성군 다사읍 죽곡리 836,35.855722,128.463943,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
오펠스크린골프 주차장,대구광역시,달성군,대구광역시 달성군 다사읍 세천로 100,대구광역시 달성군 다사읍 세천리 1689-1,35.873163,128.472485,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
다사지구대 맞은편공원 코너,대구광역시,달성군,대구광역시 달성군 다사읍 세천로 100,대구광역시 달성군 다사읍 세천리 1689-1,35.873163,128.472485,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
다사지구대 앞,대구광역시,달성군,대구광역시 달성군 다사읍 세천로 100,대구광역시 달성군 다사읍 세천리 1689-1,35.873163,128.472485,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
담쟁이 부동산 앞,대구광역시,달성군,대구광역시 달성군 다사읍 죽곡2길 5,대구광역시 달성군 다사읍 죽곡리 151-2,35.857869,128.461503,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
